"管理番号","機器名称","開始日","状況","現所在地ＣＤ","現所在地","型式","製造ＣＤ","管理部署","分類ＣＤ","分類","メーカーＣＤ","メーカー","配備部署","ME.No","カタログ名称","SystemID","資産番号","資産区分","納入年月日","廃棄フラグ","廃棄年月日","廃棄予定日","廃棄担当者","代表機種","年間保守契約","年間保守費用","常設機器","統計対象外","運転実時間","耐用年数","可用年数","所属コード","購入価格"
"20-2148","輸液ポンプ","2025/02/27 10:19:28","保守開始","090000","テルモ","TE-261C","1801000148","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2147","輸液ポンプ","2025/05/19 13:59:00","貸出中","114","新　ICU","TE-261C","1801000147","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2146","輸液ポンプ","2025/05/20 13:15:00","終業点検開始","108","新　臨床工学室","TE-261C","1801000146","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2145","輸液ポンプ","2025/05/16 9:21:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000145","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2144","輸液ポンプ","2025/05/15 16:47:00","貸出中","117","新　CCU","TE-261C","1801000144","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2143","輸液ポンプ","2025/05/14 9:51:00","貸出中","114","新　ICU","TE-261C","1801000143","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2142","輸液ポンプ","2025/05/01 14:46:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000142","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2141","輸液ポンプ","2025/03/31 14:49:00","貸出中","105","新　東6階","TE-261C","1801000141","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2140","輸液ポンプ","2025/05/08 9:49:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000140","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2139","輸液ポンプ","2025/05/13 16:24:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000139","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2138","輸液ポンプ","2024/07/25 15:10:38","保守開始","090000","テルモ","TE-261C","1801000138","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2137","輸液ポンプ","2025/05/19 10:33:00","貸出中","109","新　西4階","TE-261C","1801000137","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2136","輸液ポンプ","2025/05/20 10:50:00","","108","新　臨床工学室","TE-261C","1801000136","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2135","輸液ポンプ","2025/05/05 16:04:00","貸出中","105","新　東6階","TE-261C","1801000135","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2134","輸液ポンプ","2025/03/04 17:46:46","保守開始","090000","テルモ","TE-261C","1801000134","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2133","輸液ポンプ","2025/01/08 13:47:22","保守開始","090000","テルモ","TE-261C","1801000133","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2132","輸液ポンプ","2025/05/19 10:48:00","貸出中","114","新　ICU","TE-261C","1801000132","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2131","輸液ポンプ","2025/05/18 10:17:00","貸出中","114","新　ICU","TE-261C","1801000131","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2130","輸液ポンプ","2025/05/13 13:44:00","貸出中","114","新　ICU","TE-261C","1801000130","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2129","輸液ポンプ","2025/05/20 9:26:00","貸出中","117","新　CCU","TE-261C","1801000129","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2128","輸液ポンプ","2025/05/20 10:19:00","貸出中","109","新　西4階","TE-261C","1801000128","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2127","輸液ポンプ","2025/05/16 16:14:00","貸出中","111","新　西6階","TE-261C","1801000127","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2126","輸液ポンプ","2025/04/03 16:42:00","貸出中","114","新　ICU","TE-261C","1801000126","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2125","輸液ポンプ","2025/05/19 9:44:00","貸出中","109","新　西4階","TE-261C","1801000125","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2124","輸液ポンプ","2025/05/08 9:46:00","貸出中","106","新　東7階","TE-261C","1801000124","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2123","輸液ポンプ","2025/05/16 22:37:00","貸出中","104","新　東5階","TE-261C","1801000123","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2122","輸液ポンプ","2025/04/18 9:35:00","貸出中","110","新　西5階","TE-261C","1801000122","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2121","輸液ポンプ","2025/05/20 10:38:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000121","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2120","輸液ポンプ","2025/02/13 17:13:36","保守開始","090000","テルモ","TE-261C","1801000120","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2119","輸液ポンプ","2025/05/20 12:14:00","貸出中","105","新　東6階","TE-261C","1801000119","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2118","輸液ポンプ","2025/04/04 9:43:00","貸出中","112","新　西7階","TE-261C","1801000118","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2117","輸液ポンプ","2025/05/13 13:44:00","貸出中","114","新　ICU","TE-261C","1801000117","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2116","輸液ポンプ","2025/04/03 12:48:00","貸出中","119","新　外来A","TE-261C","1801000116","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2115","輸液ポンプ","2025/05/19 10:33:00","貸出中","109","新　西4階","TE-261C","1801000115","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2114","輸液ポンプ","2025/05/19 12:21:00","貸出中","105","新　東6階","TE-261C","1801000114","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2113","輸液ポンプ","2025/05/20 10:50:00","","108","新　臨床工学室","TE-261C","1801000113","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2112","輸液ポンプ","2025/05/12 10:22:00","貸出中","109","新　西4階","TE-261C","1801000112","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2111","輸液ポンプ","2025/03/07 18:10:46","保守開始","090000","テルモ","TE-261C","1801000111","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2110","輸液ポンプ","2025/05/16 19:08:00","貸出中","105","新　東6階","TE-261C","1801000110","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2109","輸液ポンプ","2025/04/08 12:27:00","貸出中","103","新　東4階(産婦人科)","TE-261C","1801000109","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2108","輸液ポンプ","2025/03/31 11:07:00","貸出中","119","新　外来A","TE-261C","1801000108","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2107","輸液ポンプ","2025/04/28 15:05:00","貸出中","101","新　東3階(救急)","TE-261C","1801000107","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2106","輸液ポンプ","2025/04/03 12:48:00","貸出中","119","新　外来A","TE-261C","1801000106","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2105","輸液ポンプ","2024/07/08 16:47:19","保守開始","090000","テルモ","TE-261C","1801000105","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2104","輸液ポンプ","2025/05/20 13:15:00","終業点検開始","108","新　臨床工学室","TE-261C","1801000104","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2103","輸液ポンプ","2025/05/14 9:51:00","貸出中","114","新　ICU","TE-261C","1801000103","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2102","輸液ポンプ","2025/02/26 14:41:00","貸出中","132","新　アンギオ室","TE-261C","1801000102","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2101","輸液ポンプ","2025/05/20 8:19:00","貸出中","101","新　東3階(救急)","TE-261C","1801000101","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2100","輸液ポンプ","2025/04/22 10:20:00","貸出中","106","新　東7階","TE-261C","1801000100","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2099","輸液ポンプ","2025/04/30 15:32:00","貸出中","101","新　東3階(救急)","TE-261C","1801000099","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2098","輸液ポンプ","2025/05/19 10:48:00","貸出中","114","新　ICU","TE-261C","1801000098","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2097","輸液ポンプ","2025/04/03 12:48:00","貸出中","119","新　外来A","TE-261C","1801000097","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2096","輸液ポンプ","2025/02/18 7:58:34","保守開始","090000","テルモ","TE-261C","1801000096","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2095","輸液ポンプ","2024/07/23 9:47:37","保守開始","090000","テルモ","TE-261C","1801000095","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2094","輸液ポンプ","2025/05/12 10:22:00","貸出中","109","新　西4階","TE-261C","1801000094","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2093","輸液ポンプ","2025/05/15 16:47:00","貸出中","117","新　CCU","TE-261C","1801000093","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2092","輸液ポンプ","2025/05/19 13:59:00","貸出中","114","新　ICU","TE-261C","1801000092","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2091","輸液ポンプ","2025/05/14 14:27:00","貸出中","114","新　ICU","TE-261C","1801000091","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2090","輸液ポンプ","2025/05/15 11:16:00","貸出中","114","新　ICU","TE-261C","1801000090","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2089","輸液ポンプ","2025/05/20 10:50:00","","108","新　臨床工学室","TE-261C","1801000089","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2088","輸液ポンプ","2025/05/16 9:40:00","貸出中","109","新　西4階","TE-261C","1801000088","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2087","輸液ポンプ","2025/05/14 11:09:00","貸出中","110","新　西5階","TE-261C","1801000087","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2086","輸液ポンプ","2025/05/01 12:12:00","貸出中","110","新　西5階","TE-261C","1801000086","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2085","輸液ポンプ","2025/05/13 17:19:00","貸出中","110","新　西5階","TE-261C","1801000085","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2084","輸液ポンプ","2025/05/20 8:19:00","貸出中","101","新　東3階(救急)","TE-261C","1801000084","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2083","輸液ポンプ","2025/05/14 14:42:00","貸出中","112","新　西7階","TE-261C","1801000083","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2082","輸液ポンプ","2025/05/20 11:14:00","","108","新　臨床工学室","TE-261C","1801000082","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2081","輸液ポンプ","2025/05/20 9:46:00","貸出中","106","新　東7階","TE-261C","1801000081","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2080","輸液ポンプ","2025/05/01 17:44:00","貸出中","114","新　ICU","TE-261C","1801000080","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2079","輸液ポンプ","2025/05/19 9:19:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000079","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2078","輸液ポンプ","2025/05/19 12:21:00","貸出中","105","新　東6階","TE-261C","1801000078","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2077","輸液ポンプ","2025/05/19 10:06:00","貸出中","106","新　東7階","TE-261C","1801000077","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2076","輸液ポンプ","2025/05/16 9:38:00","貸出中","114","新　ICU","TE-261C","1801000076","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2075","輸液ポンプ","2025/05/15 11:16:00","貸出中","114","新　ICU","TE-261C","1801000075","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2074","輸液ポンプ","2025/05/20 10:19:00","貸出中","109","新　西4階","TE-261C","1801000074","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2073","輸液ポンプ","2025/04/03 12:48:00","貸出中","119","新　外来A","TE-261C","1801000073","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2072","輸液ポンプ","2025/04/18 9:51:00","貸出中","112","新　西7階","TE-261C","1801000072","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2071","輸液ポンプ","2025/05/18 10:17:00","貸出中","114","新　ICU","TE-261C","1801000071","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2070","輸液ポンプ","2025/05/20 10:19:00","貸出中","109","新　西4階","TE-261C","1801000070","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2069","輸液ポンプ","2025/05/19 8:45:00","貸出中","101","新　東3階(救急)","TE-261C","1801000069","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2068","輸液ポンプ","2025/05/07 15:43:00","貸出中","185","血液浄化センター","TE-261C","1801000068","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2067","輸液ポンプ","2025/05/19 9:06:00","貸出中","110","新　西5階","TE-261C","1801000067","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2066","輸液ポンプ","2025/05/20 10:38:00","貸出中","102","新　東4階(小児科)","TE-261C","1801000066","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2065","輸液ポンプ","2025/05/19 22:47:00","貸出中","117","新　CCU","TE-261C","1801000065","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
"20-2064","輸液ポンプ","2025/04/21 10:49:00","貸出中","66","DMAT","TE-261C","1801000064","新　ＭＥ室","0374400","輸液ポンプ","090000","テルモ","新　ＭＥ室","","テルフュージョン輸液ポンプＴＥ－２６１","","","リース品","2020/04/01 0:00:00","False","","","","False","False","0","False","False","","6","6","","0"
